finalResult,codeModule,moduleSession,ExternalQuiz,DataPlus,DualPlus,Folder,Forumng,Glossary,HomePage,HtmlActivity,OuCollaborate,OuContent,OuElluminate,OuWiki,PageClicks,Questionnaire,Quiz,RepeatActivity,Resource,SharedSubPage,SubPage,Url
Pass,1,0,0.0,0.0,0.0,0,35.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,0.0,2.0,1.0
Pass,5,0,0.0,0.0,0.0,0,122.0,0.0,135.0,2.0,1.0,299.0,0.0,20.0,2.0,10.0,5.0,0.0,10.0,0.0,67.0,7.0
Pass,6,1,0.0,0.0,0.0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
Fail,1,0,0.0,0.0,0.0,0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fail,2,0,0.0,0.0,0.0,0,12.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.0,0.0,53.0,0.0,15.0,2.0
Pass,3,1,0.0,0.0,0.0,0,15.0,0.0,50.0,0.0,0.0,24.0,0.0,20.0,0.0,0.0,0.0,0.0,12.0,0.0,116.0,6.0
Pass,2,0,0.0,0.0,0.0,0,0.0,0.0,43.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,211.0,0.0,11.0,0.0,13.0,1.0
Fail,5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pass,3,0,0.0,0.0,0.0,0,166.0,0.0,199.0,0.0,6.0,75.0,0.0,26.0,0.0,0.0,370.0,0.0,43.0,0.0,99.0,9.0
Pass,5,1,0.0,0.0,0.0,0,40.0,0.0,48.0,0.0,0.0,146.0,0.0,0.0,3.0,0.0,107.0,0.0,8.0,0.0,57.0,6.0
Pass,3,1,0.0,0.0,0.0,0,52.0,0.0,120.0,0.0,0.0,21.0,4.0,4.0,5.0,0.0,0.0,0.0,87.0,0.0,72.0,50.0
Pass,5,0,0.0,0.0,0.0,0,66.0,0.0,84.0,0.0,7.0,155.0,0.0,7.0,2.0,0.0,2.0,0.0,9.0,0.0,77.0,1.0
Pass,6,0,0.0,0.0,0.0,0,16.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,2.0,0.0
Fail,1,1,0.0,0.0,0.0,0,1408.0,10.0,290.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,39.0,0.0,49.0,0.0,130.0,28.0
Pass,5,0,0.0,0.0,0.0,0,153.0,0.0,101.0,1.0,8.0,255.0,0.0,20.0,1.0,5.0,89.0,0.0,21.0,0.0,107.0,6.0
Pass,3,0,0.0,0.0,0.0,0,2.0,0.0,14.0,0.0,2.0,13.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,18.0,1.0
Pass,1,0,0.0,0.0,0.0,0,6.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,0.0,6.0,0.0,6.0,2.0
Fail,5,1,0.0,0.0,0.0,0,38.0,0.0,55.0,0.0,0.0,60.0,0.0,6.0,2.0,0.0,2.0,0.0,22.0,0.0,63.0,4.0
Pass,4,1,0.0,0.0,0.0,0,132.0,0.0,138.0,0.0,4.0,318.0,0.0,0.0,0.0,0.0,408.0,0.0,28.0,0.0,83.0,25.0
