finalResult,codeModule,moduleSession,Q1-ExternalQuiz,Q1-DataPlus,Q1-DualPlus,Q1-Folder,Q1-Forumng,Q1-Glossary,Q1-HomePage,Q1-HtmlActivity,Q1-OuCollaborate,Q1-OuContent,Q1-OuElluminate,Q1-OuWiki,Q1-PageClicks,Q1-Questionnaire,Q1-Quiz,Q1-RepeatActivity,Q1-Resource,Q1-SharedSubPage,Q1-SubPage,Q1-Url,Q2-ExternalQuiz,Q2-DataPlus,Q2-DualPlus,Q2-Folder,Q2-Forumng,Q2-Glossary,Q2-HomePage,Q2-HtmlActivity,Q2-OuCollaborate,Q2-OuContent,Q2-OuElluminate,Q2-OuWiki,Q2-PageClicks,Q2-Questionnaire,Q2-Quiz,Q2-RepeatActivity,Q2-Resource,Q2-SharedSubPage,Q2-SubPage,Q2-Url,Q3-ExternalQuiz,Q3-DataPlus,Q3-DualPlus,Q3-Folder,Q3-Forumng,Q3-Glossary,Q3-HomePage,Q3-HtmlActivity,Q3-OuCollaborate,Q3-OuContent,Q3-OuElluminate,Q3-OuWiki,Q3-PageClicks,Q3-Questionnaire,Q3-Quiz,Q3-RepeatActivity,Q3-Resource,Q3-SharedSubPage,Q3-SubPage,Q3-Url,Q4-ExternalQuiz,Q4-DataPlus,Q4-DualPlus,Q4-Folder,Q4-Forumng,Q4-Glossary,Q4-HomePage,Q4-HtmlActivity,Q4-OuCollaborate,Q4-OuContent,Q4-OuElluminate,Q4-OuWiki,Q4-PageClicks,Q4-Questionnaire,Q4-Quiz,Q4-RepeatActivity,Q4-Resource,Q4-SharedSubPage,Q4-SubPage,Q4-Url
Pass,1,0,0,0,0,0,35,0,12,0,0,0,0,0,0,0,20,0,2,0,2,1,0,0,0,0,6,0,17,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,6,0,18,0,0,21,0,0,0,0,32,0,2,0,10,1,0,0,0,0,20,0,9,0,0,1,0,0,0,0,0,0,2,0,2,0
Pass,5,0,0,0,0,0,122,0,135,2,1,299,0,20,2,10,5,0,10,0,67,7,0,0,0,0,14,0,60,0,0,438,0,0,6,0,52,0,5,0,0,0,15,0,0,0,43,0,56,0,0,380,0,0,2,12,444,0,8,0,46,16,29,0,0,0,22,0,55,0,0,329,0,1,7,12,65,0,4,0,23,2
Pass,6,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,13,0,0,2,0,0,0,0,81,0,2,0,1,0
Fail,1,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fail,2,0,0,0,0,0,12,0,94,0,0,0,0,0,0,0,416,0,53,0,15,2,0,0,0,0,5,0,56,0,0,9,0,0,0,0,87,0,32,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,475,0,19,0,14,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,240,0,16,0,4,0
Pass,3,1,0,0,0,0,15,0,50,0,0,24,0,20,0,0,0,0,12,0,116,6,0,0,4,0,0,0,18,0,0,22,0,0,0,0,0,0,5,0,0,0,0,0,7,0,39,0,36,0,0,21,0,0,0,0,0,0,18,0,73,4,0,0,1,0,4,0,6,0,0,0,0,0,0,0,0,0,1,0,4,0
Pass,2,0,0,0,0,0,0,0,43,0,0,25,0,0,0,0,211,0,11,0,13,1,0,0,0,0,15,0,20,0,0,3,0,0,0,0,25,0,22,0,0,0,0,0,0,0,0,0,27,0,0,41,0,0,0,0,58,0,48,0,29,0,0,0,0,0,7,0,59,0,0,217,0,0,2,0,391,0,23,0,71,0
Fail,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pass,3,0,0,0,0,0,166,0,199,0,6,75,0,26,0,0,370,0,43,0,99,9,0,0,0,0,61,0,88,0,0,66,0,7,0,0,35,0,31,0,0,0,0,0,1,0,69,0,88,0,4,55,0,0,0,0,82,0,142,0,68,6,0,0,8,0,121,0,133,0,14,17,0,0,4,0,399,0,48,0,71,3
Pass,5,1,0,0,0,0,40,0,48,0,0,146,0,0,3,0,107,0,8,0,57,6,0,0,0,0,8,0,67,0,0,141,0,0,0,0,273,0,5,0,0,0,0,0,0,0,0,0,39,0,0,168,0,0,0,0,222,0,4,0,22,1,0,0,0,2,0,0,19,0,0,103,0,0,0,0,0,0,0,0,8,0
